date,entity,amount_usd,action_type,source_url
2015-12-14,University of Washington Medicine,750000,settlement,https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/agreements/university-of-washington-medicine/index.html
2015-11-30,Triple-S Management Corporation,3500000,settlement,https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/agreements/triple-s-management/index.html
2015-08-31,Cancer Care Group,750000,settlement,https://www.hhs.gov/ocr/privacy/hipaa/enforcement/examples/cancercare.html
2014-06-23,Parkview Health System,800000,settlement,https://www.hhs.gov/ocr/privacy/hipaa/enforcement/examples/parkview.html
2014-05-07,New York-Presbyterian Hospital and Columbia University,4800000,settlement,https://www.hhs.gov/ocr/privacy/hipaa/enforcement/examples/jointbreach-agreement.html
2014-04-22,Concentra Health Services,1725220,settlement,https://www.hhs.gov/ocr/privacy/hipaa/enforcement/examples/stolenlaptops-agreements.html
2014-04-22,QCA Health Plan,250000,settlement,https://www.hhs.gov/ocr/privacy/hipaa/enforcement/examples/stolenlaptops-agreements.html
2013-07-11,WellPoint,1700000,settlement,https://www.hhs.gov/ocr/privacy/hipaa/enforcement/examples/wellpoint-agreement.html
2013-06-13,Shasta Regional Medical Center,275000,settlement,https://www.hhs.gov/ocr/privacy/hipaa/enforcement/examples/shasta-agreement.html
2013-05-21,Idaho State University,400000,settlement,https://www.hhs.gov/ocr/privacy/hipaa/enforcement/examples/isu-agreement.html
2012-09-17,Massachusetts Eye and Ear Infirmary,1500000,settlement,https://www.hhs.gov/ocr/privacy/hipaa/enforcement/examples/meei-agreement.html
2012-06-26,Alaska Department of Health and Social Services,1700000,settlement,https://www.hhs.gov/ocr/privacy/hipaa/enforcement/examples/alaska-agreement.html
2012-03-13,Blue Cross Blue Shield of Tennessee,1500000,settlement,https://www.hhs.gov/ocr/privacy/hipaa/enforcement/examples/bcbstagrmnt.html
2011-02-14,Massachusetts General Hospital,1000000,settlement,https://www.hhs.gov/ocr/privacy/hipaa/enforcement/examples/massgeneralra.html
2011-02-04,Cignet Health,4300000,civil_money_penalty,https://www.hhs.gov/ocr/privacy/hipaa/enforcement/examples/cignetcmp.html
2010-07-27,Rite Aid Corporation,1000000,settlement,https://www.hhs.gov/ocr/privacy/hipaa/enforcement/examples/riteaidresagr.html
2009-01-16,CVS Pharmacy,2250000,settlement,https://www.hhs.gov/ocr/privacy/hipaa/enforcement/examples/cvsresolutionagreement.html
